key,mean,lower,upper,Rowname
b_Intercept,2.376489983157854,1.008928231470395,4.125226512543445,b_Intercept
b_syntax_sum1,1.011917394386148,0.2636639318986235,1.9503303744935254,b_syntax_sum1
b_syntax_sum1:trial_sum1,-0.05792852853081901,-0.9838618061486569,0.7288281003081691,b_syntax_sum1:trial_sum1
b_trial_sum1,0.213410200114129,-0.6923989084032303,1.2194398264709496,b_trial_sum1
critical_pred,1.093233860126758,-0.33567218303536833,2.7339985673199116,critical_pred
critical_subj,3.232925705960692,1.3075217660536855,6.064423457869908,critical_subj
filler_pred,1.635911317416654,-0.3944034213568027,4.1127348428508945,filler_pred
filler_subj,3.5438890491273116,1.4747477427366857,6.349897640210104,filler_subj
syntax_critical,2.139691845833934,0.10109713789456189,5.003658506104067,syntax_critical
syntax_filler,1.9079777317106579,-0.3366908782675632,4.40639868400423,syntax_filler
syntax_subj_v_pred,2.023834788772296,0.527327863797247,3.900660748987051,syntax_subj_v_pred
trial_filler_v_critical,0.426820400228258,-1.3847978168064605,2.4388796529418992,trial_filler_v_critical
